Frame,Area1,Mean1,Min1,Max1
143,162.220,26.948,0,210
144,162.220,27.857,0,251
145,162.220,26.989,0,252
146,162.220,27.574,0,234
147,162.220,27.687,0,237
148,162.220,27.286,0,255
149,162.220,28.382,0,255
150,162.220,28.696,0,255
151,162.220,27.842,0,249
152,162.220,26.802,0,227
153,162.220,27.194,0,221
154,162.220,27.507,0,255
155,162.220,28.267,0,255
156,162.220,26.862,0,255
157,162.220,27.381,0,244
158,162.220,26.644,0,255
159,162.220,27.413,0,255
160,162.220,27.236,0,211
161,162.220,27.238,0,222
162,162.220,28.068,0,237
163,162.220,27.788,0,255
164,162.220,27.987,0,244
165,162.220,28.148,0,255
166,162.220,27.670,1,255
167,162.220,28.285,0,255
168,162.220,28.158,0,254
169,162.220,27.786,0,236
170,162.220,27.438,0,255
171,162.220,28.330,0,255
172,162.220,27.976,0,255
173,162.220,29.177,0,250
174,162.220,28.412,0,255
175,162.220,29.132,0,255
176,162.220,29.648,0,255
177,162.220,29.729,0,255
178,162.220,29.930,0,255
179,162.220,29.685,0,255
180,162.220,29.005,0,255
181,162.220,29.602,0,255
182,162.220,30.051,2,227
183,162.220,30.442,0,232
184,162.220,29.763,0,255
185,162.220,30.139,0,255
186,162.220,29.873,0,255
187,162.220,30.415,0,255
188,162.220,29.477,0,212
189,162.220,31.549,0,253
190,162.220,31.799,0,255
191,162.220,32.549,0,255
192,162.220,34.733,1,255
193,162.220,34.002,0,255
194,162.220,33.868,0,243
195,162.220,34.907,0,255
196,162.220,34.505,0,255
197,162.220,34.735,0,255
198,162.220,36.094,0,255
199,162.220,37.431,0,255
200,162.220,36.945,0,255
201,162.220,37.819,0,255
202,162.220,35.619,0,255
203,162.220,35.254,1,255
204,162.220,36.757,0,255
205,162.220,36.604,0,255
206,162.220,36.046,0,255
207,162.220,36.085,0,255
208,162.220,35.107,0,237
209,162.220,34.364,0,253
210,162.220,33.437,0,255
211,162.220,32.683,0,255
212,162.220,32.161,0,255
213,162.220,31.812,0,246
214,162.220,30.890,0,255
215,162.220,30.214,0,255
216,162.220,29.131,0,236
217,162.220,30.212,0,255
218,162.220,28.958,0,242
219,162.220,28.960,0,255
220,162.220,28.300,0,241
221,162.220,29.739,0,255
222,162.220,29.723,0,255
223,162.220,29.481,0,255
224,162.220,29.069,0,220
225,162.220,29.456,0,227
226,162.220,29.895,0,237
227,162.220,31.107,0,255
228,162.220,29.194,0,255
229,162.220,29.719,0,245
230,162.220,29.890,1,255
231,162.220,28.554,0,224
232,162.220,28.687,0,255
233,162.220,28.556,0,255
234,162.220,28.345,0,240
235,162.220,28.100,0,234
236,162.220,27.139,0,239
237,162.220,27.704,0,255
238,162.220,26.520,1,209
239,162.220,26.817,0,248
240,162.220,27.238,0,220
241,162.220,26.438,0,229
242,162.220,26.776,0,255
243,162.220,26.927,0,255
244,162.220,26.707,0,226
245,162.220,26.479,0,204
246,162.220,26.932,0,234
247,162.220,26.464,0,206
248,162.220,26.706,0,202
249,162.220,26.686,0,228
250,162.220,25.875,0,232
251,162.220,27.337,0,255
252,162.220,26.904,0,227
253,162.220,28.540,0,255
254,162.220,26.662,0,249
255,162.220,27.667,0,238
256,162.220,27.238,0,253
257,162.220,26.299,0,245
258,162.220,27.479,0,255
259,162.220,26.550,0,200
260,162.220,27.256,0,255
261,162.220,27.561,0,250
262,162.220,26.596,0,226
263,162.220,26.956,1,255
264,162.220,26.374,0,255
265,162.220,26.110,0,226
266,162.220,27.082,0,250
267,162.220,26.371,1,220
268,162.220,26.549,0,213
269,162.220,26.707,0,224
270,162.220,27.375,0,199
271,162.220,27.206,0,255
272,162.220,26.399,0,215
273,162.220,27.176,0,255
274,162.220,25.801,0,212
275,162.220,26.763,0,242
276,162.220,26.820,0,215
277,162.220,26.413,0,239
278,162.220,26.265,0,223
279,162.220,27.062,0,213
280,162.220,26.568,0,255
281,162.220,25.987,0,255
282,162.220,26.651,0,255
283,162.220,26.045,0,216
284,162.220,26.723,0,228
285,162.220,26.901,0,228
286,162.220,27.745,0,255
287,162.220,26.470,0,225
288,162.220,26.133,0,255
289,162.220,26.642,0,255
290,162.220,26.664,0,235
291,162.220,26.969,0,249
292,162.220,26.631,0,255
293,162.220,27.131,0,223
294,162.220,25.607,0,244
295,162.220,26.338,0,255
296,162.220,27.855,1,242
297,162.220,26.212,0,215
298,162.220,27.882,0,255
299,162.220,26.276,0,238
300,162.220,26.550,1,207
301,162.220,26.738,0,243
302,162.220,26.095,0,239
303,162.220,26.542,0,223
304,162.220,26.739,0,252
305,162.220,27.050,0,255
306,162.220,26.492,0,215
307,162.220,26.812,0,251
308,162.220,26.289,0,225
309,162.220,27.230,0,240
310,162.220,25.750,0,255
311,162.220,25.395,0,216
312,162.220,25.454,0,193
313,162.220,27.665,0,251
314,162.220,27.104,1,252
315,162.220,26.720,0,227
316,162.220,25.437,0,252
317,162.220,27.681,1,246
318,162.220,26.117,0,244
319,162.220,26.887,0,243
320,162.220,27.152,0,238
321,162.220,26.593,0,255
322,162.220,26.396,0,206
323,162.220,26.365,1,240
324,162.220,27.652,0,218
325,162.220,26.836,1,255
326,162.220,27.648,0,248
327,162.220,27.125,0,242
328,162.220,26.699,0,214
329,162.220,27.667,0,255
330,162.220,26.775,0,227
331,162.220,27.349,0,230
332,162.220,26.664,1,247
333,162.220,26.107,0,246
334,162.220,26.905,1,234
335,162.220,26.405,0,228
336,162.220,26.348,1,255
337,162.220,26.436,0,255
338,162.220,26.481,0,218
339,162.220,27.095,0,238
340,162.220,27.110,0,251
341,162.220,26.073,0,200
342,162.220,25.381,0,231
343,162.220,25.758,0,240
344,162.220,26.400,0,255
345,162.220,26.535,0,240
346,162.220,25.473,0,255
347,162.220,26.820,0,255
348,162.220,26.029,0,241
349,162.220,26.452,0,255
350,162.220,25.544,0,231
351,162.220,25.977,0,225
352,162.220,27.285,0,255
353,162.220,26.518,0,211
354,162.220,26.777,0,255
355,162.220,26.376,0,208
356,162.220,27.565,0,229
357,162.220,25.960,1,248
358,162.220,26.270,0,251
359,162.220,25.840,0,222
360,162.220,26.658,0,255
361,162.220,25.767,0,246
362,162.220,27.013,1,199
363,162.220,27.508,0,255
364,162.220,26.417,0,219
365,162.220,27.439,0,232
366,162.220,26.821,0,222
367,162.220,27.080,0,209
368,162.220,26.517,0,201
369,162.220,27.136,0,255
370,162.220,27.169,0,218
371,162.220,26.123,0,225
372,162.220,27.819,0,255
373,162.220,27.624,0,220
374,162.220,26.874,0,222
375,162.220,26.162,0,224
376,162.220,27.302,0,218
377,162.220,25.605,0,194
378,162.220,25.935,0,200
379,162.220,27.412,0,248
380,162.220,26.779,0,218
381,162.220,26.764,0,255
382,162.220,26.693,0,242
383,162.220,27.164,0,255
384,162.220,25.452,0,247
385,162.220,27.214,1,237
386,162.220,26.854,0,230
387,162.220,27.089,0,246
388,162.220,26.949,0,222
389,162.220,26.614,0,240
390,162.220,27.155,0,230
391,162.220,26.193,0,215
392,162.220,27.190,0,211
393,162.220,26.349,0,218
394,162.220,26.406,0,200
395,162.220,27.227,0,255
396,162.220,27.352,0,250
397,162.220,26.927,0,224
398,162.220,26.780,0,219
399,162.220,27.017,0,200
400,162.220,26.531,0,209
401,162.220,26.975,0,255
402,162.220,27.256,0,220
403,162.220,26.727,0,225
404,162.220,26.627,0,225
405,162.220,26.304,0,252
406,162.220,26.673,0,242
407,162.220,26.880,0,253
408,162.220,26.549,0,214
409,162.220,26.619,0,237
410,162.220,26.336,0,246
411,162.220,26.793,0,255
412,162.220,28.126,0,246
413,162.220,26.927,0,242
414,162.220,26.649,0,255
415,162.220,26.512,0,249
416,162.220,27.708,0,239
417,162.220,26.607,0,229
418,162.220,27.079,0,237
419,162.220,27.440,0,255
420,162.220,26.354,0,255
421,162.220,26.000,0,210
422,162.220,27.026,0,226
423,162.220,26.985,0,240
424,162.220,25.821,0,255
425,162.220,25.805,0,243
426,162.220,27.270,0,240
427,162.220,25.830,0,255
428,162.220,26.075,0,252
429,162.220,26.194,0,214
430,162.220,26.225,0,241
431,162.220,27.244,0,238
432,162.220,26.519,0,255
433,162.220,25.524,0,210
434,162.220,26.612,0,255
435,162.220,26.700,0,197
436,162.220,25.589,0,255
437,162.220,26.617,0,224
438,162.220,25.970,0,212
439,162.220,26.849,0,255
440,162.220,26.067,0,233
441,162.220,26.694,0,216
442,162.220,26.575,0,255
443,162.220,26.510,0,255
444,162.220,26.451,0,245
445,162.220,26.069,0,255
446,162.220,26.323,0,210
447,162.220,26.476,0,209
448,162.220,26.045,0,255
449,162.220,26.577,0,247
450,162.220,26.445,0,255
451,162.220,27.275,0,248
452,162.220,27.296,0,242
453,162.220,27.337,0,244
454,162.220,27.110,0,229
455,162.220,26.868,0,225
456,162.220,26.801,0,230
457,162.220,26.923,0,216
458,162.220,26.820,0,224
459,162.220,26.489,0,255
460,162.220,26.135,0,239
461,162.220,27.401,0,218
462,162.220,27.271,0,215
463,162.220,26.748,0,235
464,162.220,26.433,0,242
465,162.220,27.061,0,255
466,162.220,26.169,0,216
467,162.220,26.594,0,255
468,162.220,26.087,0,248
469,162.220,25.810,0,247
470,162.220,26.783,0,211
471,162.220,25.602,0,228
472,162.220,27.063,0,255
473,162.220,25.420,1,208
474,162.220,26.298,0,255
475,162.220,27.108,0,229
476,162.220,27.014,0,204
477,162.220,25.964,0,255
478,162.220,25.538,0,223
479,162.220,27.438,0,232
480,162.220,26.501,0,255
481,162.220,26.719,1,217
482,162.220,25.921,0,221
483,162.220,26.861,0,255
484,162.220,26.206,0,230
485,162.220,26.181,1,254
486,162.220,26.400,0,242
487,162.220,26.621,0,212
488,162.220,26.614,0,227
489,162.220,25.639,0,207
490,162.220,26.681,0,255
491,162.220,27.223,0,232
492,162.220,26.964,0,230
493,162.220,26.770,0,244
494,162.220,26.365,0,255
495,162.220,26.870,0,228
496,162.220,27.124,0,247
497,162.220,26.260,0,229
498,162.220,28.079,0,255
499,162.220,26.876,0,239
500,162.220,26.477,0,255
