 ,Area1,Mean1,Min1,Max1
1,108.147,34.329,0,203
2,108.147,35.145,0,197
3,108.147,35.311,0,213
4,108.147,35.418,0,217
5,108.147,34.959,0,186
6,108.147,34.598,0,174
7,108.147,34.682,0,170
8,108.147,34.618,0,214
9,108.147,33.807,0,164
10,108.147,35.345,0,199
11,108.147,33.987,0,174
12,108.147,34.768,0,188
13,108.147,34.477,0,159
14,108.147,32.905,0,200
15,108.147,35.702,1,236
16,108.147,33.054,1,200
17,108.147,33.961,0,186
18,108.147,34.312,0,231
19,108.147,35.489,0,179
20,108.147,34.816,0,168
21,108.147,33.395,2,172
22,108.147,34.266,0,196
23,108.147,33.436,0,184
24,108.147,34.550,0,189
25,108.147,34.430,0,178
26,108.147,33.929,0,227
27,108.147,32.729,0,205
28,108.147,33.371,0,207
29,108.147,34.746,0,192
30,108.147,33.952,0,162
31,108.147,33.509,0,210
32,108.147,34.129,0,177
33,108.147,34.904,0,213
34,108.147,34.320,0,168
35,108.147,34.779,0,209
36,108.147,34.732,0,162
37,108.147,34.030,0,181
38,108.147,34.643,0,187
39,108.147,33.793,0,181
40,108.147,32.864,1,189
41,108.147,33.648,0,205
42,108.147,36.354,0,199
43,108.147,33.055,0,184
44,108.147,33.007,0,197
45,108.147,34.671,0,203
46,108.147,34.646,0,255
47,108.147,34.318,0,241
48,108.147,34.121,0,203
49,108.147,33.327,0,197
50,108.147,34.302,0,178
51,108.147,34.916,0,214
52,108.147,34.304,0,183
53,108.147,34.846,0,182
54,108.147,35.077,0,214
55,108.147,33.984,0,174
56,108.147,33.182,0,172
57,108.147,34.348,0,210
58,108.147,34.213,0,187
59,108.147,35.816,0,181
60,108.147,35.568,0,218
61,108.147,34.518,0,179
62,108.147,35.345,0,204
63,108.147,33.816,0,203
64,108.147,34.936,0,216
65,108.147,36.334,0,221
66,108.147,34.700,0,165
67,108.147,35.362,0,207
68,108.147,35.959,0,231
69,108.147,33.579,0,215
70,108.147,36.730,0,198
71,108.147,34.886,0,210
72,108.147,35.039,0,191
73,108.147,35.213,0,169
74,108.147,33.418,0,185
75,108.147,35.868,0,203
76,108.147,35.291,0,185
77,108.147,35.879,0,184
78,108.147,35.579,0,252
79,108.147,36.166,0,228
80,108.147,34.289,0,194
81,108.147,34.777,0,222
82,108.147,34.591,0,198
83,108.147,35.513,0,183
84,108.147,34.845,1,193
85,108.147,34.516,0,189
86,108.147,35.382,0,176
87,108.147,35.830,0,200
88,108.147,36.052,0,199
89,108.147,35.400,0,182
90,108.147,34.900,0,199
91,108.147,36.377,0,172
92,108.147,36.034,0,207
93,108.147,37.384,0,215
94,108.147,36.580,0,214
95,108.147,34.407,0,175
96,108.147,37.429,0,184
97,108.147,36.018,0,188
98,108.147,35.973,0,196
99,108.147,36.062,0,186
100,108.147,35.357,0,182
101,108.147,34.618,0,184
102,108.147,36.196,0,189
103,108.147,34.602,0,181
104,108.147,35.554,0,203
105,108.147,35.513,0,218
106,108.147,34.713,0,216
107,108.147,34.737,0,204
108,108.147,34.964,0,197
109,108.147,35.773,0,183
110,108.147,34.600,0,190
111,108.147,35.105,0,187
112,108.147,36.180,0,180
113,108.147,35.536,0,215
114,108.147,35.555,0,200
115,108.147,35.350,0,176
116,108.147,37.098,0,231
117,108.147,36.304,0,228
118,108.147,35.984,0,207
119,108.147,35.871,0,195
120,108.147,35.564,0,161
121,108.147,36.364,0,188
122,108.147,35.198,0,204
123,108.147,36.493,0,238
124,108.147,37.043,0,244
125,108.147,35.971,0,187
126,108.147,36.305,2,163
127,108.147,35.657,0,178
128,108.147,34.866,0,186
129,108.147,34.111,0,167
130,108.147,36.729,0,174
131,108.147,36.152,0,195
132,108.147,34.618,0,174
133,108.147,34.845,0,183
134,108.147,36.404,0,202
135,108.147,35.404,0,176
136,108.147,35.950,0,219
137,108.147,36.487,0,219
138,108.147,35.802,0,234
139,108.147,36.679,0,192
140,108.147,35.823,1,182
141,108.147,35.366,0,186
142,108.147,38.375,0,191
143,108.147,35.898,0,200
