 ,Area1,Mean1,Min1,Max1
228,80.338,31.716,0,167
229,80.338,31.180,0,143
230,80.338,30.769,1,156
231,80.338,31.618,0,129
232,80.338,31.719,2,158
233,80.338,31.661,0,135
234,80.338,31.284,2,125
235,80.338,31.680,0,160
236,80.338,32.123,0,160
237,80.338,33.707,0,179
238,80.338,32.344,0,124
239,80.338,31.209,1,148
240,80.338,31.327,0,131
241,80.338,32.118,0,136
242,80.338,31.385,0,172
243,80.338,31.296,0,150
244,80.338,33.363,0,187
245,80.338,32.642,0,156
246,80.338,32.567,0,143
247,80.338,31.454,1,134
248,80.338,30.817,0,153
249,80.338,31.945,0,149
250,80.338,31.365,0,150
251,80.338,32.764,0,157
252,80.338,33.312,1,168
253,80.338,30.332,0,131
254,80.338,31.868,0,172
255,80.338,33.002,0,186
256,80.338,33.560,1,180
257,80.338,32.769,0,150
258,80.338,33.490,0,180
259,80.338,32.606,0,168
260,80.338,31.519,0,152
261,80.338,30.226,0,147
262,80.338,32.171,0,166
263,80.338,30.983,1,136
264,80.338,32.296,0,180
265,80.338,34.721,0,161
266,80.338,32.462,0,150
267,80.338,33.680,0,163
268,80.338,32.538,0,170
269,80.338,32.947,0,162
270,80.338,32.332,0,183
271,80.338,30.731,0,130
272,80.338,32.442,1,185
273,80.338,33.812,0,142
274,80.338,32.630,0,173
275,80.338,33.469,0,166
276,80.338,32.923,0,156
277,80.338,32.832,1,123
278,80.338,33.423,0,147
279,80.338,33.017,0,143
280,80.338,33.065,0,173
281,80.338,32.776,0,143
282,80.338,31.630,0,154
283,80.338,33.969,0,153
284,80.338,32.305,0,156
285,80.338,33.332,0,183
286,80.338,32.675,0,135
287,80.338,34.495,0,191
288,80.338,34.909,0,201
289,80.338,32.483,2,169
290,80.338,33.740,0,139
291,80.338,33.250,1,159
292,80.338,33.846,0,150
293,80.338,34.320,0,160
294,80.338,32.858,0,144
295,80.338,31.899,1,168
296,80.338,32.137,1,160
297,80.338,32.810,0,190
298,80.338,34.368,0,168
299,80.338,33.877,1,144
300,80.338,34.870,0,158
301,80.338,36.089,0,176
302,80.338,34.959,0,171
303,80.338,34.575,0,146
304,80.338,34.502,0,165
305,80.338,33.697,0,151
306,80.338,33.510,0,173
307,80.338,32.293,0,191
308,80.338,33.562,0,149
309,80.338,33.964,0,138
310,80.338,32.971,0,153
311,80.338,34.615,0,175
312,80.338,34.120,0,185
313,80.338,35.142,1,169
314,80.338,33.877,0,143
315,80.338,33.820,2,160
316,80.338,34.233,0,152
317,80.338,33.567,0,186
318,80.338,32.827,0,153
319,80.338,34.654,0,154
320,80.338,34.442,0,176
321,80.338,33.788,0,149
322,80.338,33.899,0,172
323,80.338,33.952,0,152
324,80.338,33.325,0,149
325,80.338,33.096,0,154
326,80.338,35.808,0,168
327,80.338,33.853,0,130
328,80.338,32.988,0,147
329,80.338,32.250,0,166
330,80.338,33.731,0,153
331,80.338,34.615,0,191
332,80.338,32.096,0,134
333,80.338,34.764,1,162
334,80.338,33.774,0,150
335,80.338,35.293,0,174
336,80.338,33.950,1,198
337,80.338,33.091,0,173
338,80.338,36.192,0,213
339,80.338,34.385,0,190
340,80.338,32.865,0,164
341,80.338,33.695,0,151
342,80.338,35.058,0,160
343,80.338,34.014,0,151
344,80.338,33.147,3,163
345,80.338,32.627,1,166
346,80.338,34.046,0,146
347,80.338,33.438,0,168
348,80.338,32.397,0,155
349,80.338,33.916,0,193
350,80.338,32.546,1,148
351,80.338,34.536,0,152
352,80.338,33.781,0,187
353,80.338,32.635,0,139
354,80.338,33.519,0,171
355,80.338,35.077,1,161
356,80.338,33.611,0,153
357,80.338,33.435,0,158
358,80.338,33.740,2,162
359,80.338,34.161,0,150
360,80.338,33.346,1,159
361,80.338,32.272,0,148
362,80.338,33.630,0,164
363,80.338,33.632,1,162
364,80.338,34.906,1,182
365,80.338,34.445,0,161
366,80.338,33.325,1,164
367,80.338,32.543,0,142
368,80.338,32.435,0,138
369,80.338,34.649,0,154
370,80.338,33.981,0,156
371,80.338,32.062,0,148
372,80.338,31.567,0,157
373,80.338,32.317,0,141
374,80.338,32.038,0,147
375,80.338,33.185,0,186
376,80.338,32.144,0,149
377,80.338,33.743,0,177
378,80.338,33.332,0,159
379,80.338,33.579,0,154
380,80.338,32.562,1,162
381,80.338,32.938,0,161
382,80.338,32.099,0,151
383,80.338,32.762,0,157
384,80.338,32.993,1,137
385,80.338,34.800,0,172
386,80.338,33.950,0,182
387,80.338,33.262,1,164
388,80.338,32.238,0,172
389,80.338,33.627,0,151
390,80.338,34.500,1,152
391,80.338,32.861,0,163
392,80.338,33.601,1,154
393,80.338,33.392,0,196
394,80.338,35.029,0,159
395,80.338,32.988,0,153
396,80.338,32.471,1,196
397,80.338,32.493,0,166
398,80.338,32.945,0,158
399,80.338,33.113,1,187
400,80.338,32.776,0,151
401,80.338,34.204,1,190
402,80.338,32.952,2,204
403,80.338,34.185,2,195
404,80.338,32.079,1,160
405,80.338,33.120,0,184
406,80.338,32.190,1,173
407,80.338,33.091,1,182
408,80.338,33.341,0,156
409,80.338,31.952,0,134
410,80.338,33.159,0,187
411,80.338,34.262,2,172
412,80.338,32.555,0,217
413,80.338,33.959,0,152
414,80.338,33.075,0,134
415,80.338,30.692,0,145
416,80.338,31.971,0,156
417,80.338,33.288,0,181
418,80.338,33.055,0,192
419,80.338,32.325,1,158
420,80.338,33.817,0,153
421,80.338,34.317,0,152
422,80.338,34.606,0,182
423,80.338,33.481,1,159
424,80.338,33.788,0,163
425,80.338,31.325,0,167
426,80.338,32.264,0,158
427,80.338,29.409,0,132
428,80.338,33.841,2,159
429,80.338,33.139,1,163
430,80.338,34.500,1,183
431,80.338,33.481,2,155
432,80.338,34.050,0,182
433,80.338,32.012,0,157
434,80.338,33.606,0,169
435,80.338,30.382,0,126
436,80.338,33.130,0,187
437,80.338,33.558,0,153
438,80.338,32.483,0,154
439,80.338,32.904,0,145
440,80.338,33.779,2,136
441,80.338,31.312,0,144
442,80.338,32.913,0,188
443,80.338,32.536,0,161
444,80.338,33.630,0,161
445,80.338,34.457,0,190
446,80.338,31.837,0,189
447,80.338,32.990,0,210
448,80.338,34.346,0,162
449,80.338,31.748,0,146
450,80.338,33.024,0,191
451,80.338,33.627,1,152
452,80.338,32.981,1,141
453,80.338,32.425,0,197
454,80.338,33.704,0,179
455,80.338,31.885,0,163
456,80.338,31.440,0,154
457,80.338,32.639,1,160
458,80.338,32.209,0,164
459,80.338,33.481,0,161
460,80.338,33.337,0,211
461,80.338,34.474,0,164
462,80.338,31.760,0,151
463,80.338,33.272,0,167
464,80.338,32.514,0,151
465,80.338,33.180,0,171
466,80.338,32.310,0,158
467,80.338,31.829,0,157
468,80.338,33.957,0,148
469,80.338,32.577,0,164
470,80.338,33.166,0,160
471,80.338,34.017,0,166
472,80.338,35.531,0,169
473,80.338,32.524,0,147
474,80.338,33.810,1,164
475,80.338,35.089,0,161
476,80.338,31.438,0,136
477,80.338,34.228,0,144
478,80.338,31.623,0,138
479,80.338,33.399,2,143
480,80.338,33.750,0,167
481,80.338,33.784,0,139
482,80.338,33.692,1,173
483,80.338,33.349,0,147
484,80.338,32.897,1,188
485,80.338,33.918,1,176
486,80.338,36.272,0,167
